150 1.000000000000000000e+00 1.000000000000000000e+00
0 0 6.371225697479651310e+06 0.000000000000000000e+00
1 0 2.583388903091951505e+01 0.000000000000000000e+00
2 0 -6.272972076019519591e+03 0.000000000000000000e+00
3 0 -1.374091268086335731e+02 0.000000000000000000e+00
4 0 7.232623371829686221e+01 0.000000000000000000e+00
5 0 -1.506139431907255926e+02 0.000000000000000000e+00
6 0 1.282945077470212709e+02 0.000000000000000000e+00
7 0 -3.481551727759477899e+01 0.000000000000000000e+00
8 0 6.133821370470104739e+01 0.000000000000000000e+00
9 0 -5.950227278136654263e+01 0.000000000000000000e+00
10 0 -7.995375309183145873e+00 0.000000000000000000e+00
11 0 -3.537668980437154431e+01 0.000000000000000000e+00
12 0 -8.011920365344849415e+00 0.000000000000000000e+00
13 0 3.731392686771336287e+01 0.000000000000000000e+00
14 0 -9.869299946207320318e+00 0.000000000000000000e+00
15 0 1.451543684256455968e+01 0.000000000000000000e+00
16 0 -3.042596457837498747e+01 0.000000000000000000e+00
17 0 1.774507951911786785e+00 0.000000000000000000e+00
18 0 -4.188672021264210343e+00 0.000000000000000000e+00
19 0 8.986093347868733261e+00 0.000000000000000000e+00
20 0 1.243929449003189802e+01 0.000000000000000000e+00
21 0 -1.171694836794876338e+01 0.000000000000000000e+00
22 0 1.806034154797089286e+00 0.000000000000000000e+00
23 0 -3.170393706023143565e+01 0.000000000000000000e+00
24 0 9.095501623320160434e+00 0.000000000000000000e+00
25 0 -1.213640057620796497e+01 0.000000000000000000e+00
26 0 1.885780602278828155e+01 0.000000000000000000e+00
27 0 -3.655307763057558557e+00 0.000000000000000000e+00
28 0 6.249960314424242824e+00 0.000000000000000000e+00
29 0 -6.160913351866419418e+00 0.000000000000000000e+00
30 0 6.587468281184555963e+00 0.000000000000000000e+00
31 0 4.406631997247835386e+00 0.000000000000000000e+00
32 0 3.656910610457998700e+00 0.000000000000000000e+00
33 0 -8.817151714619351210e-01 0.000000000000000000e+00
34 0 1.203184382291510701e+00 0.000000000000000000e+00
35 0 -2.237749120861353358e+00 0.000000000000000000e+00
36 0 3.491907258736318909e+00 0.000000000000000000e+00
37 0 -1.609851263098715624e+00 0.000000000000000000e+00
38 0 5.124986319089657627e+00 0.000000000000000000e+00
39 0 -1.781865004523308205e+00 0.000000000000000000e+00
40 0 2.593099411635193974e+00 0.000000000000000000e+00
41 0 -8.666143421657807044e-01 0.000000000000000000e+00
42 0 -2.352028739696834236e-01 0.000000000000000000e+00
43 0 -1.948364795296012864e-01 0.000000000000000000e+00
44 0 -1.787050298677058890e+00 0.000000000000000000e+00
45 0 2.361049977933558086e+00 0.000000000000000000e+00
46 0 -2.446748432586900890e+00 0.000000000000000000e+00
47 0 3.215109732574456647e+00 0.000000000000000000e+00
48 0 -1.035029055827180855e+00 0.000000000000000000e+00
49 0 -2.954853814898700248e-01 0.000000000000000000e+00
50 0 -4.717791054266854189e+00 0.000000000000000000e+00
51 0 -1.556770105969388807e+00 0.000000000000000000e+00
52 0 2.748109967185882851e+00 0.000000000000000000e+00
53 0 4.183223592949662617e+00 0.000000000000000000e+00
54 0 4.283121222935733385e+00 0.000000000000000000e+00
55 0 -2.726289508099678516e-01 0.000000000000000000e+00
56 0 -2.751541889112559147e+00 0.000000000000000000e+00
57 0 -4.088522909128006866e+00 0.000000000000000000e+00
58 0 -2.751559625539812259e+00 0.000000000000000000e+00
59 0 2.055031470409167227e+00 0.000000000000000000e+00
60 0 -5.959785782906692475e-01 0.000000000000000000e+00
61 0 2.011692748318783808e-01 0.000000000000000000e+00
62 0 -1.743467791835428216e+00 0.000000000000000000e+00
63 0 -1.358111472388424668e+00 0.000000000000000000e+00
64 0 -1.989069381161243655e+00 0.000000000000000000e+00
65 0 2.153297815030393636e+00 0.000000000000000000e+00
66 0 2.637090202289982699e+00 0.000000000000000000e+00
67 0 6.024913426932516636e-01 0.000000000000000000e+00
68 0 6.229731596540659666e-01 0.000000000000000000e+00
69 0 -1.636994779271970790e+00 0.000000000000000000e+00
70 0 -8.100513326644431800e-01 0.000000000000000000e+00
71 0 6.930609628079772433e-01 0.000000000000000000e+00
72 0 -3.229322958795819432e-01 0.000000000000000000e+00
73 0 3.945112576314733777e-01 0.000000000000000000e+00
74 0 -3.165840149988071062e+00 0.000000000000000000e+00
75 0 1.102722411083592036e+00 0.000000000000000000e+00
76 0 7.924441008362919092e-01 0.000000000000000000e+00
77 0 4.634703216465611675e+00 0.000000000000000000e+00
78 0 -1.862147485691821203e+00 0.000000000000000000e+00
79 0 -5.429638227397767247e-01 0.000000000000000000e+00
80 0 -2.070444396391394548e+00 0.000000000000000000e+00
81 0 -1.333877077779398901e+00 0.000000000000000000e+00
82 0 9.660476743738399819e-01 0.000000000000000000e+00
83 0 3.393863600755152587e-01 0.000000000000000000e+00
84 0 1.431472395852324553e+00 0.000000000000000000e+00
85 0 -6.449034679565655015e-01 0.000000000000000000e+00
86 0 2.059588724019704387e+00 0.000000000000000000e+00
87 0 -5.718841639933576193e-01 0.000000000000000000e+00
88 0 1.303565743874059990e-01 0.000000000000000000e+00
89 0 -3.901953734240503069e-01 0.000000000000000000e+00
90 0 7.933422804781002924e-01 0.000000000000000000e+00
91 0 6.531606745705536010e-01 0.000000000000000000e+00
92 0 -2.904400620609521866e-01 0.000000000000000000e+00
93 0 9.384712579371420338e-01 0.000000000000000000e+00
94 0 -2.066244533707504161e+00 0.000000000000000000e+00
95 0 -1.831060509960259042e+00 0.000000000000000000e+00
96 0 -1.566229967153049074e+00 0.000000000000000000e+00
97 0 1.042699230591979526e-01 0.000000000000000000e+00
98 0 6.661577304475940764e-01 0.000000000000000000e+00
99 0 2.015828261119439357e+00 0.000000000000000000e+00
100 0 2.036796057465835474e+00 0.000000000000000000e+00
101 0 -2.633941570101770435e-01 0.000000000000000000e+00
102 0 -5.436712539230939001e-01 0.000000000000000000e+00
103 0 -6.834488850842568297e-01 0.000000000000000000e+00
104 0 6.335191624093567953e-01 0.000000000000000000e+00
105 0 4.248978292356909159e-01 0.000000000000000000e+00
106 0 6.741660859406692907e-01 0.000000000000000000e+00
107 0 2.247530849145830401e-02 0.000000000000000000e+00
108 0 -9.593789698410546407e-01 0.000000000000000000e+00
109 0 -1.400526440125302363e+00 0.000000000000000000e+00
110 0 -8.197509736637584865e-01 0.000000000000000000e+00
111 0 -2.234650915259360771e-01 0.000000000000000000e+00
112 0 8.799975974470726214e-01 0.000000000000000000e+00
113 0 4.781259811773532209e-01 0.000000000000000000e+00
114 0 6.491125525062670931e-01 0.000000000000000000e+00
115 0 -5.166309692776103191e-01 0.000000000000000000e+00
116 0 -8.766411276010330766e-01 0.000000000000000000e+00
117 0 -3.814236239797986761e-01 0.000000000000000000e+00
118 0 2.563190979053615592e-01 0.000000000000000000e+00
119 0 5.672818740029162976e-01 0.000000000000000000e+00
120 0 3.812693624786334112e-01 0.000000000000000000e+00
121 0 2.580665375436189124e-01 0.000000000000000000e+00
122 0 -6.388369164342293516e-01 0.000000000000000000e+00
123 0 1.522423373807658409e-01 0.000000000000000000e+00
124 0 -3.222560557114775293e-01 0.000000000000000000e+00
125 0 3.110680960345423296e-01 0.000000000000000000e+00
126 0 -2.391865172830875963e-02 0.000000000000000000e+00
127 0 1.063212462845616990e+00 0.000000000000000000e+00
128 0 7.620032403574441560e-01 0.000000000000000000e+00
129 0 -3.053053660912583359e-03 0.000000000000000000e+00
130 0 -7.693427729827817529e-01 0.000000000000000000e+00
131 0 -2.975122102192553353e-01 0.000000000000000000e+00
132 0 -6.394388207409065217e-01 0.000000000000000000e+00
133 0 3.826013173144038881e-01 0.000000000000000000e+00
134 0 9.286361146660055965e-01 0.000000000000000000e+00
135 0 -5.834787107194534805e-02 0.000000000000000000e+00
136 0 -1.899348670325707644e+00 0.000000000000000000e+00
137 0 -1.425774984815034951e+00 0.000000000000000000e+00
138 0 -2.391992053089779802e-01 0.000000000000000000e+00
139 0 1.057660097242833830e+00 0.000000000000000000e+00
140 0 4.255618142778985202e-01 0.000000000000000000e+00
141 0 2.565429125062056448e-01 0.000000000000000000e+00
142 0 -1.512400058854836971e-01 0.000000000000000000e+00
143 0 -1.691217849711302568e-01 0.000000000000000000e+00
144 0 -3.768255297036375850e-01 0.000000000000000000e+00
145 0 8.551622942988003073e-01 0.000000000000000000e+00
146 0 2.028761752444552258e-01 0.000000000000000000e+00
147 0 7.987144997528973223e-01 0.000000000000000000e+00
148 0 -6.138123184209689498e-01 0.000000000000000000e+00
149 0 -1.968667279241261003e-01 0.000000000000000000e+00
150 0 -7.700502127263462171e-01 0.000000000000000000e+00
1 1 6.757992984288927119e+01 7.224151500095319989e+01
2 1 -8.322222185746471768e-01 5.988760023626199569e+01
3 1 -1.597305308941178659e+01 6.167277438015374713e+01
4 1 -1.615371560934798367e+01 -1.025677706691097626e+02
5 1 1.256789664902050774e+01 -7.708313997998092582e+00
6 1 -1.119896018318101838e+01 -1.090172476415611840e+02
7 1 4.496099121909232821e+01 6.643637641058111853e+01
8 1 9.493684167301955412e+00 -4.362625246396346768e+01
9 1 2.994785438738575323e+01 8.678894330678738811e+01
10 1 -8.339463649575609150e-01 -6.468856203680424244e+01
11 1 3.586556898200190346e+01 -4.378442171619764123e-01
12 1 -1.893390134745746423e+01 -5.951997850437462745e+01
13 1 1.392552002203698436e+01 2.314692009388027216e+01
14 1 -9.120308154177999782e+00 1.398524933253756686e+01
15 1 1.226247479404599972e+01 2.018934177145352038e+01
16 1 -1.726953288358056327e+01 1.584400826848724542e+01
